Course Name,Institute Name,Rating,Reviews,Skills,Level,Course Type,Duration
"Python for Data Science, AI & Development",IBM,4.6,40K reviews,"Skills you'll gain: Jupyter, Automation, Web Scraping, Python Programming, Data Manipulation, Data Import/Export, Scripting, Data Structures, Data Processing, Data Collection, Application Programming Interface (API), Pandas (Python Package), Programming Principles, NumPy, Object Oriented Programming (OOP), Computer Programming",Beginner,Course,1 - 3 Months
Microsoft Azure Machine Learning,Microsoft,4.4,217 reviews,"Skills you'll gain: Unsupervised Learning, Microsoft Azure, Applied Machine Learning, MLOps (Machine Learning Operations), Regression Analysis, Predictive Modeling, Machine Learning, Classification And Regression Tree (CART), Artificial Intelligence, Supervised Learning, Data Transformation",Beginner,Course,1 - 4 Weeks
IBM Generative AI Engineering,IBM,4.6,82K reviews,"Skills you'll gain: Generative AI, Data Wrangling, Unit Testing, Supervised Learning, Feature Engineering, ChatGPT, Keras (Neural Network Library), Unsupervised Learning, Natural Language Processing, Data Cleansing, Jupyter, Data Analysis, Deep Learning, Data Manipulation, PyTorch (Machine Learning Library), Data Transformation, Artificial Intelligence, Data Import/Export, Data Ethics, Exploratory Data Analysis",Beginner,Professional Certificate,3 - 6 Months
Structuring Machine Learning Projects,DeepLearning.AI,4.8,50K reviews,"Skills you'll gain: Deep Learning, Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, Machine Learning, Debugging, Supervised Learning, Data-Driven Decision-Making, Performance Tuning",Beginner,Course,1 - 4 Weeks
Advanced Learning Algorithms,DeepLearning.AI,4.9,7.5K reviews,"Skills you'll gain: Classification And Regression Tree (CART), Machine Learning Algorithms, Machine Learning, Data Ethics, Decision Tree Learning, Tensorflow, Supervised Learning, Deep Learning, Random Forest Algorithm, Artificial Neural Networks, Regression Analysis, Performance Tuning",Beginner,Course,1 - 4 Weeks
Scikit-Learn For Machine Learning Classification Problems,Coursera Project Network,4.8,10 reviews,"Skills you'll gain: Scikit Learn (Machine Learning Library), Applied Machine Learning, Machine Learning Algorithms, Predictive Modeling, Classification And Regression Tree (CART), Supervised Learning, Random Forest Algorithm, Machine Learning, Unsupervised Learning",Beginner,Guided Project,Less Than 2 Hours
Machine Learning Essentials for Business and Technical Decision Makers,Amazon Web Services,5,6 reviews,"Skills you'll gain: Applied Machine Learning, Machine Learning, MLOps (Machine Learning Operations), Technology Roadmaps, Data-Driven Decision-Making, Artificial Intelligence and Machine Learning (AI/ML), Business Analytics, Business Solutions, Organizational Strategy, Organizational Change, Feasibility Studies, System Requirements, Solution Design",Beginner,Course,1 - 4 Weeks
Fundamentals of Machine Learning for Healthcare,Stanford University,4.8,530 reviews,"Skills you'll gain: Data Ethics, Applied Machine Learning, Machine Learning Algorithms, Machine Learning, Artificial Neural Networks, Medical Science and Research, Health Care, Artificial Intelligence and Machine Learning (AI/ML), Reinforcement Learning, Supervised Learning, Deep Learning, Predictive Modeling, Health Care Procedure and Regulation, Data Processing, Image Analysis, Natural Language Processing",Beginner,Course,1 - 3 Months
Fake News Detection with Machine Learning,Coursera Project Network,4.6,256 reviews,"Skills you'll gain: Exploratory Data Analysis, Deep Learning, Text Mining, Plot (Graphics), Artificial Neural Networks, Data Cleansing, Data Import/Export, Data Analysis, Natural Language Processing, Data Processing, Python Programming, Machine Learning",Beginner,Guided Project,Less Than 2 Hours
Employee Attrition Prediction Using Machine Learning,Coursera Project Network,4.4,12 reviews,"Skills you'll gain: Data Visualization, Feature Engineering, Data Cleansing, Predictive Modeling, Scikit Learn (Machine Learning Library), Data Analysis, Applied Machine Learning, Regression Analysis, Supervised Learning, Predictive Analytics, Machine Learning, Human Resources, Decision Tree Learning, Employee Retention",Beginner,Guided Project,Less Than 2 Hours
Introduction to Statistics,Stanford University,4.6,3.9K reviews,"Skills you'll gain: Descriptive Statistics, Statistics, Statistical Methods, Sampling (Statistics), Statistical Analysis, Data Analysis, Statistical Hypothesis Testing, Regression Analysis, Statistical Inference, Probability, Exploratory Data Analysis, Quantitative Research, Probability Distribution, Correlation Analysis",Beginner,Course,1 - 3 Months
Introduction to Machine Learning: Art of the Possible,Amazon Web Services,N/A,N/A,"Skills you'll gain: Business Leadership, Strategic Leadership, Strategic Decision-Making, Business Transformation, Business Strategy, Business Planning, Data-Driven Decision-Making, Organizational Strategy, Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Decision Making, Technology Roadmaps",Beginner,Course,1 - 4 Weeks
Complete Visual Guide to Machine Learning,Maven Analytics,N/A,N/A,"Skills you'll gain: Unsupervised Learning, Regression Analysis, Exploratory Data Analysis, Time Series Analysis and Forecasting, Data Analysis, Statistical Analysis, Data Science, Data Mining, Machine Learning, Predictive Modeling, Classification And Regression Tree (CART), Supervised Learning, Data Quality, Anomaly Detection, Feature Engineering, Dimensionality Reduction, Random Forest Algorithm",Beginner,Course,1 - 3 Months
AI and Public Health,DeepLearning.AI,4.8,216 reviews,"Skills you'll gain: Data Analysis, Jupyter, Exploratory Data Analysis, Data Ethics, Artificial Intelligence, Machine Learning, Predictive Modeling, Applied Machine Learning, Information Privacy, Deep Learning, Environmental Monitoring, Health Care",Beginner,Course,1 - 4 Weeks
Foundations of Machine Learning,Fractal Analytics,4.5,11 reviews,"Skills you'll gain: Classification And Regression Tree (CART), Applied Machine Learning, Machine Learning, Regression Analysis, Supervised Learning, Decision Tree Learning, Machine Learning Algorithms, Feature Engineering, Unsupervised Learning, Application Deployment, Predictive Modeling, Anomaly Detection, Data Manipulation, Data Cleansing, Exploratory Data Analysis",Beginner,Course,1 - 3 Months
How Google does Machine Learning,Google Cloud,4.6,7.3K reviews,"Skills you'll gain: Google Cloud Platform, Machine Learning, Data Strategy, MLOps (Machine Learning Operations), Applied Machine Learning, Development Environment, Data Ethics, Artificial Intelligence, Computer Vision, Jupyter",Beginner,Course,1 - 3 Months
Build your first Machine Learning Pipeline using Dataiku,Coursera Project Network,4.6,56 reviews,"Skills you'll gain: Data Import/Export, Exploratory Data Analysis, Predictive Modeling, Applied Machine Learning, Data Pipelines, Data Manipulation, Data Analysis, Machine Learning",Beginner,Guided Project,Less Than 2 Hours
Prompt Engineering,Vanderbilt University,4.8,5.8K reviews,"Skills you'll gain: ChatGPT, Ideation, Verification And Validation, Data Presentation, Document Management, Generative AI, Creative Thinking, Creativity, Artificial Intelligence, Risk Management Framework, OpenAI, Productivity Software, Microsoft Excel, Data Ethics, Data Analysis, Information Management, Natural Language Processing, Data Transformation, Technical Communication, Problem Solving",Beginner,Specialization,1 - 3 Months
Machine Learning and NLP Basics,Edureka,3.5,20 reviews,"Skills you'll gain: Natural Language Processing, Deep Learning, Predictive Modeling, Text Mining, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning, Tensorflow, Supervised Learning, Artificial Neural Networks, Reinforcement Learning",Beginner,Course,1 - 4 Weeks
Medical Insurance Premium Prediction with Machine Learning,Coursera Project Network,4.7,23 reviews,"Skills you'll gain: Data Visualization, Keras (Neural Network Library), Artificial Neural Networks, Interactive Data Visualization, Predictive Modeling, Tensorflow, Applied Machine Learning, Feature Engineering, Data Processing, Data Manipulation, Data Cleansing, Machine Learning, Regression Analysis",Beginner,Guided Project,Less Than 2 Hours
AI Infrastructure and Operations Fundamentals,NVIDIA,4.6,319 reviews,"Skills you'll gain: Artificial Intelligence and Machine Learning (AI/ML), Generative AI, MLOps (Machine Learning Operations), Artificial Intelligence, Cloud Computing, Cloud Infrastructure, Infrastructure Architecture, Data Infrastructure, IT Infrastructure, Information Technology Operations, Deep Learning, Network Infrastructure, Hardware Architecture, Data Centers, Software Architecture",Beginner,Course,1 - 4 Weeks
Applied Data Science,IBM,4.6,57K reviews,"Skills you'll gain: Dashboard, Data Visualization Software, Plotly, Data Wrangling, Data Visualization, Exploratory Data Analysis, Data Cleansing, Jupyter, Matplotlib, Data Analysis, Pandas (Python Package), Data Manipulation, Seaborn, Data Transformation, Data Import/Export, Predictive Modeling, Web Scraping, Interactive Data Visualization, Automation, Python Programming",Beginner,Specialization,3 - 6 Months
Bracketology with Google Machine Learning,Google Cloud,N/A,N/A,"Skills you'll gain: Applied Machine Learning, Data Processing, Feature Engineering, Data Transformation, Big Data, Google Cloud Platform, Data Manipulation, Predictive Analytics, Exploratory Data Analysis",Beginner,Project,Less Than 2 Hours
Cervical Cancer Risk Prediction Using Machine Learning,Coursera Project Network,4.7,35 reviews,"Skills you'll gain: Exploratory Data Analysis, Data Analysis, Scikit Learn (Machine Learning Library), Predictive Modeling, Pandas (Python Package), Applied Machine Learning, Data Visualization Software, Feature Engineering, Machine Learning, Risk Analysis",Beginner,Guided Project,Less Than 2 Hours
Introduction to Computer Vision and Image Processing,IBM,4.3,1.3K reviews,"Skills you'll gain: Computer Vision, Image Analysis, Artificial Neural Networks, IBM Cloud, Keras (Neural Network Library), Cloud Applications, Deep Learning, Tensorflow, PyTorch (Machine Learning Library), Artificial Intelligence and Machine Learning (AI/ML), Computer Programming, Cloud Computing, Augmented Reality, Application Development, Computer Science, Machine Learning, Data Processing",Beginner,Course,1 - 3 Months
Titanic Survival Prediction Using Machine Learning,Coursera Project Network,4.8,15 reviews,"Skills you'll gain: Feature Engineering, Data Cleansing, Data Visualization, Predictive Modeling, Classification And Regression Tree (CART), Applied Machine Learning, Data Processing, Data Manipulation, Supervised Learning, Scikit Learn (Machine Learning Library), Machine Learning, Machine Learning Algorithms",Beginner,Guided Project,Less Than 2 Hours
Scikit-Learn to Solve Regression Machine Learning Problems,Coursera Project Network,N/A,N/A,"Skills you'll gain: Scikit Learn (Machine Learning Library), Predictive Modeling, Regression Analysis, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning, Random Forest Algorithm",Beginner,Guided Project,Less Than 2 Hours
Mathematics for Machine Learning: Linear Algebra,Imperial College London,4.7,12K reviews,"Skills you'll gain: Linear Algebra, NumPy, Applied Mathematics, Data Transformation, Data Science, Machine Learning Methods, Algorithms, Data Manipulation, Python Programming",Beginner,Course,1 - 3 Months
IBM Data Analyst,IBM,4.6,89K reviews,"Skills you'll gain: Data Storytelling, Dashboard, Data Visualization Software, Plotly, Data Presentation, Data Wrangling, Data Visualization, SQL, Generative AI, Interactive Data Visualization, Exploratory Data Analysis, Data Cleansing, Big Data, Jupyter, Matplotlib, Data Analysis, Statistical Analysis, Pandas (Python Package), Excel Formulas, Professional Networking",Beginner,Professional Certificate,3 - 6 Months
AI Product Management,Duke University,4.7,730 reviews,"Skills you'll gain: Deep Learning, MLOps (Machine Learning Operations), Data Ethics, Data Management, Unsupervised Learning, Human Computer Interaction, User Experience Design, Classification And Regression Tree (CART), Data Quality, Human Centered Design, Machine Learning, Human Factors, Regression Analysis, Technical Management, Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, Artificial Neural Networks, Computer Vision, Data Processing, Personally Identifiable Information",Beginner,Specialization,3 - 6 Months
"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,4.9,4.4K reviews,"Skills you'll gain: Unsupervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Data Ethics, Machine Learning, Machine Learning Algorithms, Supervised Learning, Artificial Intelligence, Reinforcement Learning, Artificial Neural Networks, Deep Learning, Anomaly Detection, Dimensionality Reduction, Algorithms, Regression Analysis",Beginner,Course,1 - 4 Weeks
ChatGPT: Master Free AI Tools to Supercharge Productivity,Vanderbilt University,4.8,5.5K reviews,"Skills you'll gain: ChatGPT, Generative AI, OpenAI, Artificial Intelligence, Personalized Service, Expense Management, Artificial Intelligence and Machine Learning (AI/ML), Creative Thinking, Productivity Software, Creativity, Digital Transformation, Business Process Automation, Applied Machine Learning, Expense Reports, Innovation, Natural Language Processing, Test Case, Scenario Testing, Technical Communication, Data Analysis",Beginner,Specialization,3 - 6 Months
"Fundamentals of AI, Machine Learning, and Python Programming",Packt,N/A,N/A,"Skills you'll gain: PyTorch (Machine Learning Library), Deep Learning, Matplotlib, Artificial Intelligence, Pandas (Python Package), Python Programming, NumPy, Data Analysis, Artificial Neural Networks, Tensorflow, Exploratory Data Analysis, Data Visualization, Classification And Regression Tree (CART), Data Processing, Regression Analysis, Data Science, Machine Learning",Beginner,Course,3 - 6 Months
Machine Learning for Computer Vision,MathWorks,4.9,20 reviews,"Skills you'll gain: Computer Vision, Image Analysis, Matlab, Applied Machine Learning, Machine Learning, Supervised Learning, Visualization (Computer Graphics), Data Cleansing, Performance Tuning",Beginner,Course,1 - 4 Weeks
"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier",Vanderbilt University,4.8,5.4K reviews,"Skills you'll gain: ChatGPT, Generative AI, OpenAI, Expense Management, Artificial Intelligence, Personalized Service, Expense Reports, Workflow Management, Artificial Intelligence and Machine Learning (AI/ML), Google Workspace, Creative Thinking, Productivity Software, Creativity, Business Process Automation, Digital Transformation, Google Sheets, Automation, Innovation, Natural Language Processing, Test Case",Beginner,Specialization,3 - 6 Months
Microsoft Azure AI Fundamentals AI-900 Exam Prep,Microsoft,4.6,1K reviews,"Skills you'll gain: Anomaly Detection, Image Analysis, Text Mining, Unsupervised Learning, Computer Vision, Artificial Intelligence, Natural Language Processing, Microsoft Azure, Applied Machine Learning, Data Ethics, Machine Learning, MLOps (Machine Learning Operations), Regression Analysis, Predictive Modeling, Artificial Intelligence and Machine Learning (AI/ML), Classification And Regression Tree (CART), Unstructured Data, Generative AI, Analytics, Supervised Learning",Beginner,Specialization,3 - 6 Months
Machine Learning Foundations for Product Managers,Duke University,4.7,525 reviews,"Skills you'll gain: Deep Learning, Unsupervised Learning, Classification And Regression Tree (CART), Machine Learning, Regression Analysis, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, Computer Vision, Supervised Learning, Statistical Methods, Natural Language Processing, Predictive Modeling, Performance Metric",Beginner,Course,1 - 3 Months
AI Agents and Agentic AI in Python: Powered by Generative AI,Vanderbilt University,4.8,5.2K reviews,"Skills you'll gain: ChatGPT, Generative AI, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Business Process Automation, Automation, Strategic Thinking, Python Programming, Creative Thinking, Creativity, Business Intelligence, Workflow Management, Software Design, Emerging Technologies, Innovation, Business Strategy, Natural Language Processing, Competitive Analysis, Digital Transformation, Problem Solving",Beginner,Specialization,3 - 6 Months
Data Science Foundations,Multiple educators,4.6,111K reviews,"Skills you'll gain: Dashboard, Pseudocode, Jupyter, Algorithms, Data Mining, Pandas (Python Package), Data Visualization Software, Correlation Analysis, Web Scraping, NumPy, R Programming, Probability & Statistics, Predictive Modeling, Big Data, Automation, Computer Programming Tools, GitHub, Data Analysis Software, Machine Learning Algorithms, Unsupervised Learning",Beginner,Specialization,3 - 6 Months
Data Science,Johns Hopkins University,4.5,51K reviews,"Skills you'll gain: Shiny (R Package), Rmarkdown, Exploratory Data Analysis, Regression Analysis, Leaflet (Software), Version Control, Statistical Analysis, R Programming, Data Manipulation, Data Cleansing, Data Science, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Data Visualization, Plotly, Machine Learning Algorithms, Interactive Data Visualization, Probability & Statistics, Knitr",Beginner,Specialization,3 - 6 Months
Big Data,University of California San Diego,4.5,14K reviews,"Skills you'll gain: Apache Spark, PySpark, Apache Hadoop, Data Integration, Exploratory Data Analysis, Big Data, Graph Theory, Data Pipelines, Data Modeling, Regression Analysis, Data Management, Applied Machine Learning, Data Infrastructure, Data Presentation, Scalability, Data Mining, Data Processing, Statistical Analysis, Databases, Data Architecture",Beginner,Specialization,3 - 6 Months
Launching into Machine Learning,Google Cloud,4.6,4.3K reviews,"Skills you'll gain: Data Quality, Exploratory Data Analysis, Machine Learning, Applied Machine Learning, Scikit Learn (Machine Learning Library), Data Cleansing, Artificial Intelligence and Machine Learning (AI/ML), Supervised Learning, Google Cloud Platform, Machine Learning Algorithms, Data Analysis, Big Data, Regression Analysis, Data Processing, Sampling (Statistics), Performance Tuning",Beginner,Course,1 - 3 Months
Interpretable Machine Learning Applications: Part 1,Coursera Project Network,4.3,47 reviews,"Skills you'll gain: Feature Engineering, Classification And Regression Tree (CART), Decision Tree Learning, Applied Machine Learning, Random Forest Algorithm, Predictive Modeling, Data Analysis, Machine Learning, Data-Driven Decision-Making, Predictive Analytics, Machine Learning Algorithms",Beginner,Guided Project,Less Than 2 Hours
Data Science: Foundations using R,Johns Hopkins University,4.6,48K reviews,"Skills you'll gain: Rmarkdown, Exploratory Data Analysis, Version Control, Statistical Analysis, R Programming, Data Manipulation, Data Cleansing, Data Science, Data Visualization, Statistical Programming, Ggplot2, Dimensionality Reduction, Data Visualization Software, Data Integration, Knitr, Data Analysis, Data Import/Export, General Science and Research, Data Sharing, Statistical Reporting",Beginner,Specialization,3 - 6 Months
Foundations of Data Science: K-Means Clustering in Python,University of London,4.6,711 reviews,"Skills you'll gain: Matplotlib, Probability & Statistics, Data Visualization Software, Data Science, Unsupervised Learning, Statistics, NumPy, Python Programming, Pandas (Python Package), Data Analysis, Machine Learning Algorithms, Descriptive Statistics, Data Manipulation",Beginner,Course,1 - 3 Months
AI for Good,DeepLearning.AI,4.7,452 reviews,"Skills you'll gain: Disaster Recovery, Data Analysis, Jupyter, Exploratory Data Analysis, Data Ethics, Image Analysis, Emergency Response, Artificial Intelligence, Machine Learning, Predictive Modeling, Applied Machine Learning, Mitigation, Text Mining, Environmental Monitoring, Natural Language Processing, Information Privacy, Artificial Neural Networks, Deep Learning, Data Processing, Computer Vision",Beginner,Specialization,1 - 3 Months
Interpretable Machine Learning Applications: Part 2,Coursera Project Network,4.2,22 reviews,"Skills you'll gain: Classification And Regression Tree (CART), Applied Machine Learning, Random Forest Algorithm, Data Transformation, Data Processing, Machine Learning Algorithms, Machine Learning Methods, Predictive Modeling, Regression Analysis, Scatter Plots, Feature Engineering, Machine Learning, Exploratory Data Analysis, Data Validation, Estimation, Data Quality, Performance Measurement",Beginner,Guided Project,Less Than 2 Hours
Machine Learning for Kyphosis Disease Classification,Coursera Project Network,4.6,13 reviews,"Skills you'll gain: Feature Engineering, Data Visualization Software, Data Cleansing, Classification And Regression Tree (CART), Random Forest Algorithm, Decision Tree Learning, Scikit Learn (Machine Learning Library), Applied Machine Learning, Predictive Modeling, Data Manipulation, Data Transformation, Data Processing, Statistical Machine Learning, Predictive Analytics, Machine Learning",Beginner,Guided Project,Less Than 2 Hours
Generative AI Automation,Vanderbilt University,4.8,5.9K reviews,"Skills you'll gain: ChatGPT, Ideation, Verification And Validation, Data Presentation, Generative AI, Document Management, Creative Thinking, Image Analysis, Data Capture, Artificial Intelligence, OpenAI, Data Analysis, Organizational Skills, Risk Management Framework, Computer Vision, Productivity Software, Microsoft Excel, Creativity, Data Ethics, Information Management",Beginner,Specialization,3 - 6 Months
Tableau Business Intelligence Analyst,Tableau Learning Partner,4.7,877 reviews,"Skills you'll gain: Data Storytelling, Exploratory Data Analysis, Requirements Elicitation, Ad Hoc Reporting, Data Governance, Data Ethics, Tableau Software, Business Analysis, Data Visualization Software, Data Warehousing, Business Metrics, Dashboard, Statistical Visualization, Extract, Transform, Load, Data Analysis, Spatial Data Analysis, Data Quality, Data Management, Descriptive Statistics, Interactive Data Visualization",Beginner,Professional Certificate,3 - 6 Months
Generative AI Assistants,Vanderbilt University,4.8,5.6K reviews,"Skills you'll gain: ChatGPT, Generative AI, Ideation, Verification And Validation, OpenAI, Creative Thinking, Creativity, Artificial Intelligence, Personalized Service, Risk Management Framework, Expense Management, Artificial Intelligence and Machine Learning (AI/ML), Productivity Software, Digital Transformation, Data Ethics, Business Process Automation, Expense Reports, Innovation, Natural Language Processing, Test Case",Beginner,Specialization,1 - 3 Months
Generative AI Fundamentals,IBM,4.7,5.2K reviews,"Skills you'll gain: Generative AI, ChatGPT, OpenAI, Data Ethics, Leadership and Management, Business Leadership, Strategic Leadership, Business Ethics, IBM Cloud, Tensorflow, Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, PyTorch (Machine Learning Library), Deep Learning, Content Creation, Business Transformation, New Business Development, Socioeconomics, Software Development Tools",Beginner,Specialization,3 - 6 Months
Machine Learning: Random Forest with Python from Scratch©,Packt,N/A,N/A,"Skills you'll gain: Applied Machine Learning, Random Forest Algorithm, Predictive Modeling, Matplotlib, Classification And Regression Tree (CART), Machine Learning, Supervised Learning, Data Manipulation, Python Programming, Data Transformation, Programming Principles, Data Cleansing, Data Visualization Software, Pandas (Python Package), NumPy",Beginner,Course,1 - 3 Months
AI in Healthcare,Stanford University,4.7,2K reviews,"Skills you'll gain: Feature Engineering, Pharmaceuticals, Data Ethics, Clinical Data Management, Health Systems, Healthcare Industry Knowledge, Unstructured Data, Data Mining, Health Care, Applied Machine Learning, Electronic Medical Record, Machine Learning Algorithms, Machine Learning, Data Collection, Health Care Administration, Artificial Neural Networks, Medicare, Quality Improvement, Health Care Procedure and Regulation, Artificial Intelligence",Beginner,Specialization,3 - 6 Months
Auto Machine Learning (AutoML) Using AutoGluon,Coursera Project Network,N/A,N/A,"Skills you'll gain: Applied Machine Learning, Machine Learning Software, Machine Learning, MLOps (Machine Learning Operations), Artificial Intelligence and Machine Learning (AI/ML), Predictive Modeling, Classification And Regression Tree (CART), Amazon Web Services, Prototyping",Beginner,Guided Project,Less Than 2 Hours
Interpretable machine learning applications: Part 5,Coursera Project Network,4.4,14 reviews,"Skills you'll gain: Predictive Modeling, Data Visualization, Statistical Software, Predictive Analytics, Machine Learning, Statistical Methods, Data Science, Statistical Analysis, Data Ethics, Probability & Statistics, Applied Machine Learning, Public Policies",Beginner,Guided Project,Less Than 2 Hours
Advanced Machine Learning Algorithms,Fractal Analytics,3.6,8 reviews,"Skills you'll gain: Feature Engineering, Machine Learning Algorithms, Random Forest Algorithm, Algorithms, Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, Machine Learning, Classification And Regression Tree (CART), Supervised Learning, Predictive Modeling, Decision Tree Learning, Performance Tuning, Regression Analysis",Beginner,Course,1 - 3 Months
Managing Machine Learning Projects with Google Cloud,Google Cloud,4.6,3.7K reviews,"Skills you'll gain: Data Ethics, Google Cloud Platform, Applied Machine Learning, Image Analysis, Machine Learning, Computer Vision, Data Strategy, Business Ethics, Data Governance, Analytical Skills, Feasibility Studies, Business Analysis, Project Management Life Cycle, Business Intelligence",Beginner,Course,1 - 3 Months
Supervised Learning Regression Classification Clustering,Simplilearn,N/A,N/A,"Skills you'll gain: Supervised Learning, Data Modeling, Data Analysis, Regression Analysis, Unsupervised Learning, Statistical Machine Learning, Classification And Regression Tree (CART), Machine Learning Algorithms, Data Science, Machine Learning, Predictive Modeling, Data Mining, Predictive Analytics, Random Forest Algorithm",Beginner,Course,1 - 4 Weeks
Prompt Engineering for ChatGPT,Vanderbilt University,4.8,5.1K reviews,"Skills you'll gain: ChatGPT, Generative AI, Artificial Intelligence, Creative Thinking, Creativity, Natural Language Processing, Problem Solving, Application Development, Communication",Beginner,Course,1 - 3 Months
Predictive Modeling and Machine Learning with MATLAB,MathWorks,4.8,118 reviews,"Skills you'll gain: Supervised Learning, Applied Machine Learning, Matlab, Regression Analysis, Predictive Modeling, Classification And Regression Tree (CART), Machine Learning, Predictive Analytics, Feature Engineering, Statistical Modeling, Data Cleansing, Sampling (Statistics)",Beginner,Course,1 - 4 Weeks
Generative AI for Everyone,DeepLearning.AI,4.8,3.2K reviews,"Skills you'll gain: Generative AI, OpenAI, ChatGPT, Data Ethics, Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Business Process Automation, Automation, Ethical Standards And Conduct, Machine Learning, Feasibility Studies, Cloud Applications, Reinforcement Learning",Beginner,Course,1 - 4 Weeks
